chapNum|verseNum|text|keywords
1|31|therefore they shall eat the fruit of their way, and have their fill of their own devices.|Eat, Fruit, Way, Fill, Own, Devices
1|32|For the simple are killed by their turning away, and the complacency of fools destroys them;|Simple, Killed, Turning away, Complacency, Fools, Destroy
1|33|but whoever listens to me will dwell secure and will be at ease, without dread of disaster.”|Listens, Dwell, Secure, Ease, Dread, Disaster
2|1|My son, if you receive my words and treasure up my commandments with you,|Treasure, Heart, Son
2|2|making your ear attentive to wisdom and inclining your heart to understanding;|Wisdom, Understanding, Ear
2|3|yes, if you call out for insight and raise your voice for understanding,|Insight, Understanding, Voice
2|4|if you seek it like silver and search for it as for hidden treasures,|Seek, Mystery, Treasure
2|5|then you will understand the fear of the Lord and find the knowledge of God.|Fear, Lord, Knowledge
2|6|For the Lord gives wisdom; from his mouth come knowledge and understanding;|Lord, Wisdom, Knowledge, Understanding
2|7|he stores up sound wisdom for the upright; he is a shield to those who walk in integrity,|Shield, Guard, Righteosness, Protection, Integrity
2|8|guarding the paths of justice and watching over the way of his saints.|Guidance, Paths, Protection, Justice
2|9|Then you will understand righteousness and justice and equity, every good path;|Understanding, Justice, Equity, Righteosness
2|10|for wisdom will come into your heart, and knowledge will be pleasant to your soul;|Wisdom, Heart, Knowledge, Soul
2|11|discretion will watch over you, understanding will guard you,|Discretion, Understanding, Guidance
2|12|delivering you from the way of evil, from men of perverted speech,|Deliver, Evil, Waywardness
2|13|who forsake the paths of uprightness to walk in the ways of darkness,|Forsake, Upright, Paths, Darkness
2|14|who rejoice in doing evil and delight in the perverseness of evil,|Rejoice, Evil, Delight
2|15|men whose paths are crooked, and who are devious in their ways.|Devious, Paths, Ways
2|16|So you will be delivered from the forbidden woman, from the adulteress with her smooth words,|Save, Covenant
2|17|who forsakes the companion of her youth and forgets the covenant of her God;|Forsake, Companion, Youth, Covenant
2|18|for her house sinks down to death, and her paths to the departed;|Deaths, Paths
2|19|none who go to her come back, nor do they regain the paths of life.|Life, Paths, Upright
2|20|So you will walk in the way of the good and keep to the paths of the righteous.|Walk, Way, Righteous
2|21|For the upright will inhabit the land, and those with integrity will remain in it,|Upright, Inherit, Earth
2|22|but the wicked will be cut off from the land, and the treacherous will be rooted out of it.|Treacherous, Wicked
3|1|My son, do not forget my teaching, but let your heart keep my commandments.|teaching, heart, commandments
3|2|for a length of days and years of life and peace, they will add to you.| length, days, year, life, peace, add
3|3|Let not steadfast love and faithfulness forsake you; bind them around your neck; write them on the tablet of your heart.|steadfast, love, faithfulness, forsake, bind, tablet
3|4|So you will find favor and good success in the sight of God and man. |favor, success, sight, God
3|5|Trust in the Lord with all your heart, and do not lean on your own understanding.|Trust, lean, understanding
3|6|In all your ways acknowledge him, and he will make straight your paths.|acknowldge, straight, paths
3|7|Be not wise in your own eyes; fear the Lord, and turn away from evil.|wise, eyes, fear, Lord, evil
3|8|It will be healing to your flesh and refreshment to your bones.|healing, flesh, refreshment, bones
3|9|Honor the Lord with your wealth and with the firstfruits of all your produce;|Honor, Lord, wealth, firstfruits, produce
3|10|then your barns will be filled with plenty, and your vats will be bursting with wine.|barns, plenty, vats, bursting, wine
3|11|My son, do not despise the Lord’s discipline or be weary of his reproof,|discipline, reproof
3|12|for the Lord reproves him whom he loves, as a father the son in whom he delights.|reproves, delights
3|13|Blessed is the one who finds wisdom, and the one who gets understanding.|wisdom, understanding
3|14|for the gain from her is better than gain from silver, and her profit better than gold.|gain, silver, profit, gold
3|15|She is more precious than jewels, and nothing you desire can compare with her.|precious, jewels, desire, compare
3|16|Long life is in her right hand; in her left hand are riches and honor.|Long, life, hand, riches, honor
3|17|Her ways are ways of pleasantness, and all her paths are peace.|pleasantness, paths, peace
3|18|She is a tree of life to those who lay hold of her; those who hold her fast are called blessed.|tree, life, fast, blessed
3|19|The Lord by wisdom founded the earth; by understanding, he established the heavens;|wisdom, earth, established, heavens
3|20|by his knowledge, the deeps broke open, and the clouds dropped down the dew.|deeps, clouds, dew
3|21|My son, do not lose sight of these—keep sound wisdom and discretion,|sight, wisdom, discretion
3|22|and they will be life for your soul and adornment for your neck.|soul,adornment
3|23|Then you will walk on your way securely, and your foot will not stumble.|foot, stumble
3|24|If you lie down, you will not be afraid; when you lie down, your sleep will be sweet.|afriad, lie, sweet
3|25|Do not be afraid of sudden terror or of the ruin of the wicked when it comes,|sudden, terror, wicked
3|26|for the Lord will be your confidence and will keep your foot from being caught.|confidence, foot, caught
3|27|Do not withhold good from those to whom it is due, when it is in your power to do it.|withhold, power
3|28|Do not say to your neighbor, “Go, and come again, tomorrow I will give it”—when you have it with you.|neighbor, tomorrow
3|29|Do not plan evil against your neighbor, who dwells trustingly beside you.|plan, evil, neighbor, dwells
3|30|Do not contend with a man for no reason when he has done you no harm.|content, man, reason, harm
3|31|Do not envy a man of violence and do not choose any of his ways,|envy, violence, choose
3|32|for the devious person is an abomination to the Lord, but the upright are in his confidence.|devious, abomination, upright
3|33|The Lord’s curse is on the house of the wicked, but he blesses the dwelling of the righteous.|curse, wicked, righteous
3|34|Toward the scorners, he is scornful, but to the humble, he gives favor.|scorner, scornful, humble, favor
3|35|The wise will inherit honor, but fools get disgrace.|wise, inherit, fools, disgrace
4|1|Hear, O sons, a father's instruction, and be attentive, that you may gain insight,|Instruction, Insight
4|2|for I give you good precepts; do not forsake my teaching|Precepts, Forsake, Teaching
4|3|When I was a son of my father, tender, the only one in the sight of my mother,|Tender, Sight
4|4|"he taught me and said to me, ""Let your heart hold fast my words; keep my commandments, and live."|Taught, Hold fast, Commandments, Live
4|5|Get wisdom; get insight; do not forget, and do not turn away from the words of my mouth.|Wisdom, Insight, Words
4|6|Do not forsake her, and she will keep you; love her, and she will guard you.|Do not forsake, Love, Guard
4|7|The beginning of wisdom is this: Get wisdom, and whatever you get, get insight.|Beginning, Wisdom, Insight
4|8|Prize her highly, and she will exalt you; she will honor you if you embrace her.|Prize, Exalt, Honor, Embrace
4|9|"She will place on your head a graceful garland; she will bestow on you a beautiful crown."""|Place, Graceful garland, Bestow, Crown
4|10|Hear, my son, and accept my words, that the years of your life may be many.|Hear, Accept, Words, Life, Many
4|11|I have taught you the way of wisdom; I have led you in the paths of uprightness.|Wisdom, Uprightness
4|12|When you walk, your step will not be hampered, and if you run, you will not stumble.|Hampered, Stumble
4|13|Keep hold of instruction; do not let go; guard her, for she is your life.|Instruction, Guard
4|14|Do not enter the path of the wicked, and do not walk in the way of evil.|Path, Wicked, Evil
4|15|Avoid it; do not go on it; turn away from it and pass on.|Avoid, Turn away, Pass on
4|16|For they cannot sleep unless they have done wrong; they are robbed of sleep unless they have made someone stumble.|Cannot sleep, Robbed of Sleep, Stumble
4|17|For they eat the bread of wickedness and drink the wine of violence.|Bread, Wickedness, Wine, Violence
4|18|But the path of the righteous is like the light of dawn, which shines brighter and brighter until full day.|Path, Righteous, Dawn, Brighter
4|19|The way of the wicked is like deep darkness; they do not know over what they stumble.|Wicked, Deep darkness, Stumble
4|20|My son, be attentive to my words; incline your ear to my sayings.|Attentive, Incline, Sayings
4|21|Let them not escape from your sight; keep them within your heart.|Not escape, Keep, Heart
4|22|For they are life to those who find them, and healing to all their flesh.|Life, Healing
4|23|Keep your heart with all vigilance, for from it flow the springs of life.|Vigilance, Spings of life
4|24|Put away from you crooked speech, and put devious talk far from you.|Crooked speech, Devious, Away
4|25|Let your eyes look directly forward, and your gaze be straight before you.|Forward, Straight
4|26|Ponder the path of your feet; then all your ways will be sure.|Ponder, Sure
4|27|Do not swerve to the right or to the left; turn your foot away from evil.|Swerve, Away
5|1|My son, pay attention to my wisdom, turn your ear to my understanding,|Wisdom, Understanding, Discretion
5|2|that you may retain discretion and your lips may keep knowledge.|Temptation, Seduction, Danger
5|3|For the lips of a forbidden woman drip honey, and her mouth is smoother than oil,|Allure, Deception
5|4|but in the end she is bitter as wormwood, sharp as a two-edged sword.|Bitter End
5|5|Her feet go down to death; her steps lead straight to Sheol.|Destruction
5|6|For she strays far from the path of life; her ways wander, and she does not know it.|Deviation
5|7|So now, listen to me, sons, and do not depart from the words of my mouth:|Heed Instruction, Avoid Temptation, Choose Wisely
5|8|Avoid her path, go not near her dwelling place,|Protect Reputation
5|9|lest you give your honor to others and your years to the cruel,|Moral Corruption
5|10|lest strangers feast on your wealth, and your labors enrich the house of foreigners.|God's Awareness, Accountability
5|11|Then you will groan in the end, when your body and flesh are consumed.|Missed Opportunities
5|12|"And you will say, ""How I hated discipline, and how my heart spurned correction!"|Leading Destruction
5|13|I did not listen to the voice of my teachers, or incline my ear to my instructors.|Suffering Ignorance
5|14|"I was close to all evil in the midst of the assembly and the congregation."""|Embrace Foolishness
5|15|Drink water from your own cistern, running water from your own well.|Cherish Spouse
5|16|Should your springs overflow in the streets, your streams of water in the public squares?|Marital Bond
5|17|Let them be yours alone, never to be shared with strangers.|Deeper Connection
5|18|May your fountain be blessed, and may you rejoice in the wife of your youth.|Cherished Relationship
5|19|A loving doe, a graceful deer—let her breasts satisfy you always, may you ever be intoxicated with her love.|Protect Temptations
5|20|Why, my son, be intoxicated with another man's wife? Why embrace the bosom of a wayward woman?|Accountability Choices
5|21|For a man's ways are before the eyes of the Lord, and he ponders all his paths.|Consequences Sin
5|22|The iniquities of the wicked ensnare them, and the cords of their sin bind them.|Importance Seeking Wisdom
5|23|They die for lack of discipline, and because of their great folly they are led astray.|Married Life
6|1|My son, if you have put up security for your neighbor, have given your pledge for a stranger,|security
6|2|if you are snared in the words of your mouth, caught in the words of your mouth,|words
6|3|then do this, my son, and save yourself, for you have come into the hand of your neighbor: go, hasten, and plead urgently with your neighbor.|neighbor
6|4|Give your eyes no sleep and your eyelids no slumber;|sleep
6|5|save yourself like a gazelle from the hand of the hunter, like a bird from the hand of the fowler.|save yourself
6|6|Go to the ant, O sluggard; consider her ways, and be wise.|ways, wise, dilligence
6|7|Without having any chief, officer, or ruler,|self-governance, leadership, absence of authority
6|8|she prepares her bread in summer and gathers her food in harvest.|food
6|9|How long will you lie there, O sluggard? When will you arise from your sleep?|slug, call for wakefulness
6|10|A little sleep, a little slumber, a little folding of the hands to rest,|sleep
6|11|and poverty will come upon you like a robber, and want like an armed man.|poverty, robber of wealth
6|12|A worthless person, a wicked man, goes about with crooked speech,|speech
6|13|winks with his eyes, signals with his feet, points with his finger,|signs, signals, nonverbal
6|14|with perverted heart devises evil, continually sowing discord;|pervert, intentions, evil
6|15|therefore calamity will come upon him suddenly; in a moment he will be broken beyond healing.|calamity
6|16|There are six things that the LORD hates, seven that are an abomination to him:|hates
6|17|haughty eyes, a lying tongue, and hands that shed innocent blood,|arrogance, lying, deceptive, inncoent bloodshed
6|18|a heart that devises wicked plans, feet that make haste to run to evil,|wicked plans, run to evil
6|19|a false witness who breathes out lies, and one who sows discord among brothers.|lies, discord
6|20|My son, keep your father's commandment, and forsake not your mother's teaching.|commandment. teaching
6|21|Bind them on your heart always; tie them around your neck.|bind
6|22|When you walk, they will lead you; when you lie down, they will watch over you; and when you awake, they will talk with you.|lead, watch, talk
6|23|For the commandment is a lamp and the teaching a light, and the reproofs of discipline are the way of life,|teaching, discipline
6|24|to preserve you from the evil woman, from the smooth tongue of the adulteress.|preserve
6|25|Do not desire her beauty in your heart, and do not let her capture you with her eyelashes;|desire, capture
6|26|for the price of a prostitute is only a loaf of bread, but a married womanhunts down a precious life.|price
6|27|Can a man carry fire next to his chest and his clothes not be burned?|carry
6|28|Or can one walk on hot coals and his feet not be scorched?|scorched
6|29|So is he who goes in to his neighbor's wife; none who touches her will go unpunished.|neighbor, unpunished
6|30|People do not despise a thief if he steals to satisfy his appetite when he is hungry,|thief
6|31|but if he is caught, he will pay sevenfold; he will give all the goods of his house.|pay
6|32|He who commits adultery lacks sense; he who does it destroys himself.|adultery
6|33|He will get wounds and dishonor, and his disgrace will not be wiped away.|disgrace
6|34|For jealousy makes a man furious, and he will not spare when he takes revenge.|jealousy, revenge
6|35|He will accept no compensation; he will refuse though you multiply gifts.|compensation, gift
7|1|My son, keep my words and treasure up my commandments with you;|son, keep, words, treasure, commandments
7|2|Keep my commandments and live; keep my teaching as the apple of your eye;|keep, commandments, live, keep, teaching, apple, eye
7|3|Bind them on your fingers; write them on the tablet of your heart.|bind, fingers, write, tablet, heart
7|4|"Say to wisdom, ""You are my sister,"" and call insight your intimate friend,"|wisdom, sister, call, insight, intimate, friend
7|5|To keep you from the forbidden woman, from the adulteress with her smooth words.|keep, forbidden, woman, adulteress, smooth, words
7|6|For at the window of my house I have looked out through my lattice,|window, house, looked, through, lattice
7|7|And I have seen among the simple, I have perceived among the youths,A young man lacking sense, |seen, simple, among, precieved, youths, lacking, sense
7|8|passing along the street near her corner, Taking the road to her house |passing, along, street, corner, road, house
7|9| in the twilight, in the evening, at the time of night and darkness.|twilight, evening, night, time, darkness
7|10|And behold, the woman meets him, dressed as a prostitute, wily of heart.|behold, woman, meets, dressed, prostitute, wily, heart
7|11|She is loud and wayward; her feet do not stay at home;|loud, wayward, feet, stay, home
7|12|Now in the street, now in the market, and at every corner she lies in wait.|street, market, corner, lies, wait
7|13|She seizes him and kisses him, and with bold face she says to him,|seizes, kisses, bold, fce 
7|14|I had to offer sacrifices, and today I have paid my vows;|sacrifices, today, paid, vows
7|15|So now I have come out to meet you, to seek you eagerly, and I have found you.|out, come, meet, seek, eagerly, found
7|16|I have spread my couch with coverings, colored linens from Egyptian linen;|spread, couch, belongings, colored, linens, egyptian, linen, coverings
7|17|I have perfumed my bed with myrrh, aloes, and cinnamon.|perfumed, bed, myrrh, aloes, cinnamon
7|18|Come, let us take our fill of love till morning; let us delight ourselves with love.|fill, love, morning, delight
7|19|For my husband is not at home; he has gone on a long journey;|husband, home, gone, long, journey
7|20|He took a bag of money with him; at full moon, he will come home.|bag, money, full, moon
7|21|With much seductive speech, she persuades him; with her smooth talk, she compels him.|seductive, speech, persuades, smooth, talk, compels
7|22|All at once he follows her, as an ox goes to the slaughter, Or as a stag is caught fast|follows, ox, slaughter, stag, caught, fast
7|23| till an arrow pierces its liver; As a bird rushes into a snare; he does not know that it will cost him his life.|arrow, pierces, liver, bird, rushes, snare, know, cost, life
7|24|And now, O sons, listen to me, and be attentive to the words of my mouth.|sons, listen, attentive, words, mouth
7|25|Let not your heart turn aside to her ways; do not stray into her paths,|heartm aside, paths, stray
7|26|For many a victim has she laid low, and all her slain are a mighty throng.|victim, laid, low, many, slain, mighty, throng
7|27|Her house is the way to Sheol, going down to the chambers of death.|house, sheol, chambers, death, down
8|1|Does not wisdom call? Does not understanding raise her voice?|wisdom
8|2|On the heights beside the way, at the crossroads she takes her stand;|crossroads
8|3|beside the gates in front of the town, at the entrance of the portals she cries aloud:|entrance
8|4| “To you, O men, I call, and my cry is to the children of man.|men
8|5|O simple ones, learn prudence; O fools, learn sense.|prudence, fools
8|6|Hear, for I will speak noble things, and from my lips will come what is right,|noble things
8|7|for my mouth will utter truth; wickedness is an abomination to my lips.|truth, wickedness, abomination
8|8|All the words of my mouth are righteous; there is nothing twisted or crooked in them.|righteous, rtwisted, crooked
8|9|They are all straight to him who understands, and right to those who find knowledge.|knowledge
8|10|Take my instruction instead of silver, and knowledge rather than choice gold,|instruction, knowledge
8|11|for wisdom is better than jewels, and all that you may desire cannot compare with her.|wisdom, desire
8|12|“I, wisdom, dwell with prudence, and I find knowledge and discretion.|wisdom, discretion
8|13|The fear of the LORD is hatred of evil. Pride and arrogance and the way of evil and perverted speech I hate.|evil
8|14|I have counsel and sound wisdom; I have insight; I have strength.|counsel, wisdom
8|15|By me kings reign, and rulers decree what is just;|kings
8|16|by me princes rule, and nobles, all who govern justly.|princes
8|17|I love those who love me, and those who seek me diligently find me.|love
8|18|Riches and honor are with me, enduring wealth and righteousness.|riches
8|19|My fruit is better than gold, even fine gold, and my yield than choice silver.|fruit, gold
8|20|I walk in the way of righteousness, in the paths of justice,|righteousness, justice
8|21|granting an inheritance to those who love me, and filling their treasuries.|inheritance, treasuries
8|22|“The Lord possessed me at the beginning of his work, the first of his acts of old.|Lord, beginning
8|23|Ages ago I was set up, at the first, before the beginning of the earth.|set up, earth
8|24|When there were no depths I was brought forth, when there were no springs abounding with water.|brought forth, water
8|25|Before the mountains had been shaped, before the hills, I was brought forth,|mountains, hills
8|26|before he had made the earth with its fields, or the first of the dust of the world.|fields, dust
8|27|When he established the heavens, I was there; when he drew a circle on the face of the deep,|established, circle
8|28|when he made firm the skies above, when he established the fountains of the deep,|heavens, masterwork
8|29|when he assigned to the sea its limit, so that the waters might not transgress his command, when he marked out the foundations of the earth,|daily, rejoicing
8|30|then I was beside him, like a master workman, and I was daily his delight, rejoicing before him always,|inhabited, children
8|31|rejoicing in his inhabited world and delighting in the children of man.|sons, ways
8|32|“And now, O sons, listen to me: blessed are those who keep my ways.|instruction, wise
8|33|Hear instruction and be wise, and do not neglect it.|listens, gates
8|34|Blessed is the one who listens to me, watching daily at my gates, waiting beside my doors.|finds, life
8|35|For whoever finds me finds life and obtains favor from the Lord,|fails, injures
8|36|but he who fails to find me injures himself; all who hate me love death.”|hate, death
9|1|Wisdom has built her house; she has hewn her seven pillars.|Wisdom, Built, Hewn, Seven Pillars
9|2|She has slaughtered her beasts; she has mixed her wine; she has also set her table.|Slaughtered,  Mixed, Set
9|3|She has sent out her young women to call from the highest places in the town,|Sent, Young Women, Call, Highest Places
9|4|“Whoever is simple, let him turn in here!” To him who lacks sense she says,|Simple
9|5|“Come, eat of my bread and drink of the wine I have mixed.|Come, Eat, Drink
9|6|Leave your simple ways, and live, and walk in the way of insight.”|Leave, Simple Ways, Walk, Way of Insight
9|7|Whoever corrects a scoffer gets himself abuse, and he who reproves a wicked man incurs injury.|Corrects, Scoffer, Abuse, Reproves, Wicked Man, Injury
9|8|Do not reprove a scoffer, or he will hate you; reprove a wise man, and he will love you.|Reprove, Scoffer, Hate, Wise Man, Love
9|9|Give instruction to a wise man, and he will be still wiser; teach a righteous man, and he will increase in learning.|Give, Wise Man, Wiser, Righteous, Increase, Learning
9|10|The fear of the LORD is the beginning of wisdom, and the knowledge of the Holy One is insight.|Fear, Wisdom, Knowledge, Holy One, Insight
9|11|For by me your days will be multiplied, and years will be added to your life.|Days, Multiplied, Years, Add, Life
9|12|If you are wise, you are wise for yourself; if you scoff, you alone will bear it.|Wise, Scoff
9|13|The woman Folly is loud; she is seductive and knows nothing.|Woman Folly, Loud, Seductive
9|14|She sits at the door of her house; she takes a seat on the highest places of the town,|Sit, House, Take, Seat
9|15|calling to those who pass by, who are going straight on their way,|Calling, Pass, Straight
9|16|“Whoever is simple, let him turn in here!” And to him who lacks sense she says,|Simple, Turn, Lacks, Sense
9|17|“Stolen water is sweet, and bread eaten in secret is pleasant.”|Stolen, Water, Sweet, Bread, Eaten, Pleasant
9|18|But he does not know that the dead are there, that her guests are in the depths of Sheol.|Dead, Guests, depths of Sheol
10|1|A wise son brings joy to his father, but a foolish son brings grief to his mother.|wise, joy,foolish, grief, mother, father, son
10|2|Ill-gotten treasures have no lasting value, but righteousness delivers from death.|Ill-gotten, treasures, value, death, righteousness
10|3|The Lord will not let the godly go hungry, but he refuses to satisfy the craving of the wicked.|hungry, wicked, craving, satisfy
10|4|Lazy people are soon poor; hard workers get rich.|lazy, poor, hard, worker, rich
10|5|A wise youth harvests in the summer, but one who sleeps during harvest is a disgrace.|wise, harvest, sleep, disgrace
10|6|The godly are showered with blessings; the words of the wicked conceal violent intentions.|showered, blessings, words, wicked, conceal, violent, intentions
10|7|We have happy memories of the godly, but the name of a wicked person rots away.|happ, memories, godly, wicked, rots , away
10|8|The wise are glad to be instructed, but babbling fools fall flat in their faces.|wise, glad, instructed, babbling, fools, fall, flat, faces
10|9|People with integrity walk safely, but those who follow crooked paths will be exposed.|integrity, walk, safely, follow, crooked, paths, exposed
10|10|People who wink at wrong cause trouble, but bold reproof promotes peace.|wink, cause, trouble, bold reproof, promotes, peace
10|11|The words of the godly are life-giving fountain; the words of the wicked conceal violent intentions.|words, godly, life-giving fountain, wicked, conceal, violent, intentions
10|12|Hatred stir up quarrels, but love makes up for all offenses.|Hatred, stirs, quarrels, love, all, offenses
10|13|Wise words come from the lips of people with understanding, but those lacking will be beaten with a rod.|Wise, words, lips, understanding, lacking, sense, beaten, rod
10|14|Wise people treasure knowledge, but the babbling of a fool invites a disaster.|Wise, treasure, knowledge, babbling, fool, invites, disaster
10|15|The wealth of the rich is their fortress; the poverty of the poor is their destruction.|Wealth, rich, fortress, poverty, poor, destruction
10|16|The earnings of the godly enhance their lives, but evil people squander their money on sin.|Earnings, godly, enhance lives, evil, people, squander, money, sin
10|17|Whoever heeds instruction is on the path to life, but he who rejects reproof leads others astray.|Heeds, instruction, path, life, rejects, reproof, leads, others, astray
10|18|The one who conceals hatred has lying lips, and whoever utters slander is a fool.|Conceals, hatred, lying, lips, utters, slander, fool
10|19|When words are many, transgression is not lacking, but whoever restrains his lips is prudent.|Words, transgression, lacking, restrains, lips, prudent
10|20|The tongue of the righteous is choice silver; the heart of the wicked is of little worth.|Tongue, righteous, choice, silver, heart, wicked, little, worth
10|21|The lips of the righteous feed many, but fools die for lack of sense.|Lips, righteous, feed, many, fools, die, lack, sense
10|22|The blessing of the LORD makes rich, and he adds no sorrow with it.|Blessing, LORD, makes, rich, adds, sorrow
10|23|Doing wrong is like a joke to a fool, but wisdom is pleasure to a man of understanding.|Doing, wrong, joke, fool, wisdom, pleasure, man, understanding
10|24|What the wicked dreads will come upon him, but the desire of the righteous will be granted.|Wicked, dreads, come, desire, righteous, granted
10|25|When the tempest passes, the wicked is no more, but the righteous is established forever.|Tempest, passes, wicked, no more, righteous, established, forever
10|26|Like vinegar to the teeth and smoke to the eyes, so is the sluggard to those who send him.|Vinegar, teeth, smoke, eyes, sluggard, send
10|27|The fear of the LORD prolongs life, but the years of the wicked will be short.|Fear, LORD, prolongs, life, years, wicked, short
10|28|The hope of the righteous brings joy, but the expectation of the wicked will perish.|Hope, righteous, brings, joy, expectation, wicked, perish
10|29|The way of the LORD is a stronghold to the blameless, but destruction to evildoers.|Way, LORD, stronghold, blameless, destruction, evildoers
10|30|The righteous will never be removed, but the wicked will not dwell in the land.|Righteous, never, removed, wicked, dwell, land
10|31|The mouth of the righteous brings forth wisdom, but the perverse tongue will be cut off.|Mouth, righteous, brings, forth, wisdom, perverse, tongue, cut off
10|32|The lips of the righteous know what is acceptable, but the mouth of the wicked, what is perverse.|Lips, righteous, know, acceptable, mouth, wicked, perverse
11|1|A false balance is an abomination to the LORD, but a just weight is his delight.|Abomination, False
11|2|When pride comes, then comes disgrace, but with the humble is wisdom.|Pride, Wisdom, Shame
11|3|The integrity of the upright guides them, but the crookedness of the treacherous destroys them.|Integrity, Guidance
11|4|Riches do not profit in the day of wrath, but righteousness delivers from death.|Riches, Worth, Profit
11|5|The righteousness of the blameless ikeeps his way straight, but the wicked falls by his own wickedness.|Wicked, Blameless, Fall
11|6|The righteousness of the upright delivers them, but the treacherous are taken captive by their lust.|Violence, Treachery, Lust
11|7|When the wicked dies, his hope will perish, and the expectation of wealth perishes too.|Perish, Hope
11|8|The righteous is delivered from trouble, and the wicked walks into it instead.|Righteousness, Deliverance
11|9|With his mouth the godless man would destroy his neighbor,but by knowledge the righteous are delivered.|Knowledge, Confidence
11|10|When it goes well with the righteous, the city rejoices, and when the wicked perish there are shouts of gladness.|Prosper, City Rejoices
11|11|By the blessing of the upright a city is exalted, but by the mouth of the wicked it is overthrown.|Blessing, Upright, City is exalted
11|12|Whoever belittles his neighbor lacks sense, but a man of understanding remains silent.|Despise, Understand
11|13|Whoever goes about slandering reveals secrets, but he who is trustworthy in spirit keeps a thing covered.|Trust, Safety, Slander
11|14|Where there is no guidance, a people falls, but in an abundance of counselors there is safety.|Guidance, Many counselors
11|15|Whoever puts up security for a stranger will surely suffer harm, but he who hates striking hands in pledge is secure.|Strangers, Surety, Harm
11|16|A gracious woman gets honor, and violent men get riches.|Kindness, Shame
11|17|A man who is kind benefits himself, but a cruel man hurts himself.|Mercy, Cruel, Be kind
11|18|The wicked earns deceptive wages, but one who sows righteousness gets a sure reward.|Wise, Fruit, Sure
11|19|Whoever is steadfast in righteousness will live, but he who pursues evil will die.|Life, Righteousness, Pursuit of evil
11|20|Those of crooked heart are an abomination to the LORD, but those of blameless ways are his delight.|Delight, Counselors of Peace, Deceit
11|21|Be assured, fan evil person will not go unpunished, but the offspring of the righteous will be delivered.|Wickedness, Unpunished
11|22|Like a gold ring in a pig’s snout is a beautiful woman without discretion.|Foolishness, Desire, Wisdom
